Country,Population
India,1463865525
China,1416096094
United States,347275807
Indonesia,285721236
Pakistan,255219554
Nigeria,237527782
Brazil,212812405
Bangladesh,175686899
Russia,143997393
Ethiopia,135472051
Mexico,131946900
Japan,123103479
Egypt,118365995
Philippines,116786962
DR Congo,112832473
Vietnam,101598527
Iran,92417681
Turkey,87685426
Germany,84075075
Thailand,71619863
Tanzania,70545865
United Kingdom,69551332
France,66650804
South Africa,64747319
Italy,59146260
Kenya,57532493
Myanmar,54850648
Colombia,53425635
South Korea,51667029
Sudan,51662147
Uganda,51384894
Spain,47889958
Algeria,47435312
Iraq,47020774
Argentina,45851378
Afghanistan,43844111
Yemen,41773878
Canada,40126723
Angola,39040039
Ukraine,38980376
Morocco,38430770
Poland,38140910
Uzbekistan,37053428
Malaysia,35977838
Mozambique,35631653
Ghana,35064272
Peru,34576665
Saudi Arabia,34566328
Madagascar,32740678
Côte d'Ivoire,32711547
Cameroon,29879337
Nepal,29618118
Venezuela,28516896
Niger,27917831
Australia,26974026
North Korea,26571036
Syria,25620427
Mali,25198821
Burkina Faso,24074580
Sri Lanka,23229470
Taiwan,23112793
Malawi,22216120
Zambia,21913874
Chad,21003705
Kazakhstan,20843754
Chile,19859921
Somalia,19654739
Senegal,18931966
Romania,18908650
Guatemala,18687881
Netherlands,18346819
Ecuador,18289896
Cambodia,17847982
Zimbabwe,16950795
Guinea,15099727
Benin,14814460
Rwanda,14569341
Burundi,14390003
Bolivia,12581843
Tunisia,12348573
South Sudan,12188788
Haiti,11906095
Belgium,11758603
Jordan,11520684
Dominican Republic,11520487
United Arab Emirates,11346000
Honduras,11005850
Cuba,10937203
Tajikistan,10786734
Papua New Guinea,10762817
Sweden,10656633
Czech Republic (Czechia),10609239
Portugal,10411834
Azerbaijan,10397713
Greece,9938844
Togo,9721608
Hungary,9632287
Israel,9517181
Austria,9113574
Belarus,8997603
Switzerland,8967407
Sierra Leone,8819794
Laos,7873046
Turkmenistan,7618847
Libya,7458555
Hong Kong,7396076
Kyrgyzstan,7295034
Paraguay,7013078
Nicaragua,7007502
Bulgaria,6714560
Serbia,6689039
Congo,6484437
El Salvador,6365503
Denmark,6002507
Singapore,5870750
Lebanon,5849421
Liberia,5731206
Finland,5623329
Norway,5623071
State of Palestine,5589623
Central African Republic,5513282
Oman,5494691
Slovakia,5474881
Mauritania,5315065
Ireland,5308039
New Zealand,5251899
Costa Rica,5152950
Kuwait,5026078
Panama,4571189
Croatia,3848160
Georgia,3806671
Eritrea,3607003
Mongolia,3517100
Uruguay,3384688
Puerto Rico,3235289
Bosnia and Herzegovina,3140095
Qatar,3115889
Namibia,3092816
Moldova,2996106
Armenia,2952365
Jamaica,2837077
Lithuania,2830144
Gambia,2822093
Albania,2771508
Gabon,2593130
Botswana,2562122
Lesotho,2363325
Guinea-Bissau,2249515
Slovenia,2117072
Equatorial Guinea,1938431
Latvia,1853559
North Macedonia,1813791
Bahrain,1643332
Trinidad and Tobago,1511155
Timor-Leste,1418517
Cyprus,1370754
Estonia,1344232
Mauritius,1268280
Eswatini,1256174
Djibouti,1184076
Fiji,933154
Comoros,882847
Réunion,882405
Solomon Islands,838645
Guyana,835986
Bhutan,796682
Macao,722007
Luxembourg,680453
Suriname,639850
Montenegro,632729
Western Sahara,600904
Malta,545405
Maldives,529676
Cabo Verde,527326
Brunei,466330
Belize,422924
Bahamas,403033
Iceland,398266
Guadeloupe,373791
Martinique,340439
Mayotte,337011
Vanuatu,335169
French Guiana,313666
New Caledonia,295333
Barbados,282623
French Polynesia,282465
Sao Tome & Principe,240254
Samoa,219306
Curaçao,185487
Saint Lucia,180149
Guam,168999
Kiribati,136488
Seychelles,132779
Grenada,117303
Micronesia,113683
Aruba,108147
Tonga,103742
St. Vincent & Grenadines,99924
Antigua and Barbuda,94209
U.S. Virgin Islands,84138
Isle of Man,84118
Andorra,82904
Cayman Islands,75844
Dominica,65871
Bermuda,64555
Faeroe Islands,56002
Greenland,55745
Saint Kitts & Nevis,46922
Turks and Caicos,46855
American Samoa,46029
Sint Maarten,43923
Northern Mariana Islands,43541
Liechtenstein,40128
Gibraltar,40126
British Virgin Islands,39732
Monaco,38341
Marshall Islands,36282
San Marino,33572
Caribbean Netherlands,31338
Palau,17663
Anguilla,14728
Cook Islands,13263
Nauru,12025
Saint Barthelemy,11414
Wallis & Futuna,11194
Tuvalu,9492
Saint Pierre & Miquelon,5574
Saint Helena,5197
Montserrat,4359
Falkland Islands,3469
Tokelau,2608
Niue,1821
Holy See,501
